用户名称,账期,模型名称,输入token,输出token,缓存读取token,缓存创建token,  输入单价（元/M）  ,  输出单价（元/M）  , 缓存读取单价（元/M）, 缓存创建单价（元/M）,阶梯折扣,总费用（元）,代金券抵扣（元）,充值余额支付（元）,自己算的,相差
凯世通,202607.0,cl-fa-5,4263978.0,7412860.0,629305904.0,150098871.0,70.0,350.0,7.0,87.5,1.0,20457.136056,10298.6151,10158.52096,20431.772000499997,0.998760136539613
凯世通,202607.0,cl-ha-4.5,2328.0,87.0,0.0,0.0,7.0,35.0,0.7000000000000001,8.75,1.0,0.019348,-,0.019348,0.019341,0.9996382054992761
凯世通,202607.0,cl-ha-4.5-1001,4985047.0,743145.0,94407387.0,7891359.0,7.0,35.0,0.7000000000000001,8.75,1.0,207.80207,4.762996,203.039074,196.03996615,0.9433975616797271
凯世通,202607.0,cl-op-4.6,24844.0,251887.0,5558391.0,6770367.0,35.0,175.0,3.5,43.75,1.0,360.605938,159.168002,201.437936,360.60768975,1.00000485779577
凯世通,202607.0,cl-op-4.7,22626495.0,9264533.0,1030632328.0,121677066.0,35.0,175.0,3.5,43.75,1.0,11343.79953,83.309394,11260.490136,11343.8053855,1.00000051618507
凯世通,202607.0,cl-op-4.8,35126679.0,7951877.0,1557233733.0,203504461.0,35.0,175.0,3.5,43.75,1.0,16345.56084,962.49874,15383.062100000001,16974.65047425,1.03848687973499
凯世通,202607.0,cl-op-5,8885627.0,1077499.0,123880542.0,28065620.0,35.0,175.0,3.5,43.75,1.0,2168.024124,-,2168.024124,2161.012042,0.996765680823208
凯世通,202607.0,cl-so-4.5,25337.0,9641.0,0.0,0.0,21.0,105.0,1.4,17.5,1.0,1.544466,-,1.544466,1.544382,0.9999456122698721
凯世通,202607.0,cl-so-4.6,32750.0,26741.0,756276.0,608403.0,21.0,105.0,2.1,26.25,1.0,21.054012,0.012894,21.041118,21.05431335,1.00001431318648
凯世通,202607.0,cl-so-5,226790.0,528451.0,36478004.0,5426187.0,14.0,70.0,1.4,17.5,1.0,186.1923,-,186.1923,186.1941081,1.0000097109279
凯世通,202607.0,deepseek/deepseek-v4-flash,65837.0,2998.0,119552.0, -   ,1.0,2.0,0.02, -   ,1.15,0.078582,-,0.078582,0.085357646,1.08622389351251
凯世通,202607.0,deepseek/deepseek-v4-pro,389079574.0,1727544.0,330434944.0, -   ,3.0,6.0,0.024999999999999998, -   ,1.15,223.58643999999998,-,223.58643999999998,1363.74458854,6.09940651382973
凯世通,202607.0,deepseek-v4-flash, -   , -   , -   , -   ,1.0,2.0,0.2, -   ,1.0,0.0,-,0.0,,
凯世通,202607.0,deepseek-v4-pro,1495.0,709.0,0.0, -   ,12.0,24.0,0.08, -   ,1.15,0.040194,-,0.040194,0.040199399999999996,1.00013434841021
凯世通,202607.0,glm-5.2,496044729.0,9191420.0,1658272640.0, -   ,8.0,28.0,0.25, -   ,1.0,4803.5954679999995,67.37673600000001,4736.218731999999,4640.285752,0.9660026084444631
凯世通,202607.0,gpt-5.3-co,48623.0,428.0,16512.0, -   ,12.25,98.0,1.225, -   ,1.0,0.45553200000000005,-,0.45553200000000005,0.45553095,0.999997695002766
凯世通,202607.0,gpt-5.4(≤272K),38645530.0,303260.0,31275904.0, -   ,17.5,105.0,1.75, -   ,1.0,215.54442,15.660694000000001,199.883726,215.543587,0.9999961353673641
凯世通,202607.0,gpt-5.4-mini,1940481.0,25967.0,5888.0, -   ,5.25,31.5,0.525, -   ,1.0,10.977778,0.12100200000000001,10.856776,10.977664950000001,0.9999897019232851
凯世通,202607.0,gpt-5.5(≤272K),3607200275.0,15777590.0,3144939392.0, -   ,35.0,210.0,3.5, -   ,1.0,31095.654672,3586.1533759999998,27509.501294,30499.712677,0.980835200246271
凯世通,202607.0,gpt-5.5(>272K),3901341.0,28152.0,116480.0, -   ,70.0,315.0,7.0, -   ,1.0,274.623554,31.66837,242.955184,274.62351,0.9999998397806771
凯世通,202607.0,gpt-5.5-pro(≤272K),10674.0,16.0, -   , -   ,210.0,1260.0, -   , -   ,1.0,2.2617,-,2.2617,2.2617000000000003,1.0
